municipality,year,< 5,5 - 19,20 - 34,35 - 54,55 - 64,> 65
Sátão,2021,357.0,1335.0,1572.0,2699.0,1655.0,3410.0
Sátão,2022,345.0,1332.0,1584.0,2707.0,1610.0,3458.0
Sátão,2023,350.0,1325.0,1635.0,2717.0,1630.0,3481.0
São Brás de Alportel,2019,498.0,1562.0,1508.0,3246.0,1474.0,2817.0
São Brás de Alportel,2020,482.0,1594.0,1591.0,3253.0,1459.0,2922.0
São Brás de Alportel,2021,496.0,1578.0,1596.0,3248.0,1487.0,2952.0
São Brás de Alportel,2022,492.0,1605.0,1634.0,3249.0,1540.0,2977.0
São Brás de Alportel,2023,492.0,1625.0,1675.0,3257.0,1553.0,3002.0
São João da Madeira,2019,802.0,3196.0,3664.0,6594.0,3314.0,4667.0
São João da Madeira,2020,797.0,3102.0,3633.0,6468.0,3378.0,4872.0
São João da Madeira,2021,821.0,3118.0,3790.0,6517.0,3473.0,5070.0
São João da Madeira,2022,833.0,3118.0,3960.0,6616.0,3531.0,5290.0
São João da Madeira,2023,818.0,3167.0,4088.0,6715.0,3562.0,5513.0
São João da Pesqueira,2019,205.0,899.0,947.0,1824.0,1139.0,1875.0
São João da Pesqueira,2020,215.0,863.0,960.0,1792.0,1158.0,1865.0
São João da Pesqueira,2021,211.0,836.0,974.0,1760.0,1147.0,1886.0
São João da Pesqueira,2022,207.0,825.0,966.0,1728.0,1137.0,1913.0
São João da Pesqueira,2023,196.0,809.0,977.0,1732.0,1107.0,1951.0
São Pedro do Sul,2019,452.0,1893.0,1909.0,3690.0,2383.0,4851.0
São Pedro do Sul,2020,467.0,1837.0,1958.0,3633.0,2367.0,4936.0
São Pedro do Sul,2021,437.0,1801.0,2031.0,3580.0,2323.0,5005.0
São Pedro do Sul,2022,411.0,1755.0,2067.0,3533.0,2259.0,5041.0
São Pedro do Sul,2023,403.0,1730.0,2219.0,3544.0,2220.0,5081.0
São Roque do Pico,2019,135.0,428.0,531.0,960.0,495.0,673.0
São Roque do Pico,2020,140.0,420.0,529.0,935.0,522.0,680.0
São Roque do Pico,2021,130.0,429.0,556.0,959.0,519.0,699.0
São Roque do Pico,2022,131.0,432.0,557.0,1007.0,508.0,723.0
São Roque do Pico,2023,133.0,435.0,556.0,1041.0,501.0,745.0
São Vicente,2019,154.0,626.0,668.0,1277.0,835.0,1296.0
São Vicente,2020,156.0,619.0,691.0,1246.0,842.0,1333.0
São Vicente,2021,145.0,612.0,706.0,1226.0,844.0,1330.0
São Vicente,2022,133.0,596.0,730.0,1234.0,816.0,1358.0
São Vicente,2023,150.0,602.0,768.0,1254.0,824.0,1374.0
Tabuaço,2019,130.0,565.0,637.0,1217.0,927.0,1514.0
Tabuaço,2020,138.0,557.0,659.0,1177.0,923.0,1569.0
Tabuaço,2021,137.0,531.0,691.0,1177.0,879.0,1624.0
Tabuaço,2022,149.0,520.0,713.0,1165.0,848.0,1648.0
Tabuaço,2023,150.0,501.0,738.0,1145.0,834.0,1684.0
Tarouca,2019,289.0,1065.0,1005.0,2056.0,1148.0,1753.0
Tarouca,2020,281.0,1026.0,1050.0,2023.0,1177.0,1793.0
Tarouca,2021,257.0,1018.0,1086.0,1994.0,1195.0,1831.0
Tarouca,2022,250.0,1025.0,1121.0,1985.0,1204.0,1893.0
Tarouca,2023,246.0,1030.0,1189.0,1995.0,1224.0,1931.0
Tavira,2019,1034.0,3514.0,3510.0,7436.0,4159.0,7716.0
Tavira,2020,1030.0,3490.0,3595.0,7426.0,4134.0,8019.0
Tavira,2021,1010.0,3464.0,3544.0,7298.0,4030.0,8178.0
Tavira,2022,994.0,3494.0,3592.0,7264.0,4041.0,8288.0
Tavira,2023,994.0,3525.0,3684.0,7269.0,3987.0,8402.0
Terras de Bouro,2019,191.0,849.0,851.0,1665.0,1039.0,1820.0
Terras de Bouro,2020,201.0,821.0,852.0,1638.0,1043.0,1850.0
Terras de Bouro,2021,189.0,796.0,876.0,1597.0,1049.0,1861.0
Terras de Bouro,2022,179.0,782.0,910.0,1583.0,1021.0,1891.0
Terras de Bouro,2023,177.0,752.0,954.0,1587.0,974.0,1944.0
Tomar,2019,1184.0,4585.0,4859.0,9316.0,5790.0,10944.0
Tomar,2020,1182.0,4485.0,4940.0,9127.0,5805.0,11101.0
Tomar,2021,1140.0,4445.0,5012.0,8945.0,5782.0,11222.0
Tomar,2022,1144.0,4352.0,5134.0,8778.0,5712.0,11337.0
Tomar,2023,1125.0,4401.0,5390.0,8793.0,5717.0,11433.0
Tondela,2019,812.0,3089.0,3440.0,6531.0,3947.0,8229.0
Tondela,2020,813.0,3022.0,3590.0,6413.0,3963.0,8289.0
Tondela,2021,797.0,2958.0,3590.0,6331.0,3923.0,8300.0
Tondela,2022,772.0,2925.0,3573.0,6215.0,3851.0,8316.0
Tondela,2023,793.0,2889.0,3696.0,6244.0,3813.0,8389.0
Torre de Moncorvo,2019,184.0,585.0,752.0,1478.0,1155.0,2805.0
Torre de Moncorvo,2020,193.0,573.0,755.0,1426.0,1134.0,2752.0
Torre de Moncorvo,2021,196.0,562.0,755.0,1408.0,1084.0,2777.0
Torre de Moncorvo,2022,192.0,575.0,750.0,1403.0,1059.0,2764.0
Torre de Moncorvo,2023,192.0,564.0,773.0,1408.0,1015.0,2785.0
Torres Novas,2019,1289.0,4739.0,4448.0,9272.0,4994.0,9535.0
Torres Novas,2020,1294.0,4669.0,4546.0,9151.0,5031.0,9668.0
Torres Novas,2021,1211.0,4625.0,4615.0,9064.0,5087.0,9736.0
Torres Novas,2022,1206.0,4616.0,4681.0,9031.0,5029.0,9837.0
Torres Novas,2023,1173.0,4636.0,4929.0,8986.0,5102.0,9893.0
Torres Vedras,2019,3450.0,12218.0,12817.0,24239.0,10768.0,18381.0
Torres Vedras,2020,3628.0,12188.0,13288.0,24489.0,11048.0,18894.0
Torres Vedras,2021,3684.0,12200.0,13751.0,24669.0,11340.0,19293.0
Torres Vedras,2022,3684.0,12279.0,14147.0,24799.0,11609.0,19584.0
Torres Vedras,2023,3800.0,12300.0,14921.0,25087.0,11920.0,19992.0
Trancoso,2019,234.0,910.0,961.0,2053.0,1360.0,2988.0
Trancoso,2020,237.0,868.0,955.0,2035.0,1334.0,3040.0
Trancoso,2021,230.0,852.0,957.0,1982.0,1325.0,3051.0
Trancoso,2022,236.0,828.0,951.0,1948.0,1276.0,3050.0
Trancoso,2023,215.0,843.0,983.0,1934.0,1251.0,3087.0
Trofa,2019,1593.0,5501.0,6965.0,11653.0,5546.0,7298.0
Trofa,2020,1627.0,5384.0,6865.0,11532.0,5662.0,7589.0
Trofa,2021,1623.0,5310.0,6938.0,11480.0,5756.0,7895.0
Trofa,2022,1580.0,5319.0,7021.0,11562.0,5891.0,8207.0
Trofa,2023,1574.0,5320.0,7081.0,11577.0,5980.0,8465.0
Tábua,2019,398.0,1443.0,1486.0,2898.0,1634.0,3288.0
Tábua,2020,402.0,1448.0,1521.0,2867.0,1671.0,3357.0
Tábua,2021,395.0,1437.0,1596.0,2876.0,1645.0,3398.0
Tábua,2022,394.0,1407.0,1661.0,2843.0,1661.0,3444.0
Tábua,2023,402.0,1421.0,1751.0,2863.0,1680.0,3485.0
Vagos,2019,1037.0,3272.0,3613.0,6404.0,3077.0,5392.0
Vagos,2020,1046.0,3255.0,3666.0,6391.0,3163.0,5513.0
Vagos,2021,1036.0,3259.0,3748.0,6449.0,3257.0,5652.0
Vagos,2022,1041.0,3275.0,3830.0,6529.0,3284.0,5769.0
Vagos,2023,1051.0,3377.0,4042.0,6741.0,3321.0,5920.0
Vale de Cambra,2019,710.0,2630.0,3066.0,5902.0,3246.0,5771.0
Vale de Cambra,2020,729.0,2583.0,3049.0,5851.0,3215.0,5918.0
Vale de Cambra,2021,715.0,2512.0,3078.0,5739.0,3163.0,6082.0
Vale de Cambra,2022,703.0,2475.0,3057.0,5666.0,3174.0,6169.0
Vale de Cambra,2023,686.0,2428.0,3089.0,5602.0,3192.0,6254.0
Valença,2019,524.0,1822.0,2103.0,3764.0,1834.0,3545.0
Valença,2020,510.0,1822.0,2108.0,3795.0,1858.0,3603.0
Valença,2021,510.0,1805.0,2162.0,3791.0,1887.0,3647.0
Valença,2022,501.0,1835.0,2177.0,3805.0,1930.0,3684.0
Valença,2023,505.0,1857.0,2246.0,3859.0,1918.0,3774.0
Valongo,2019,4165.0,14319.0,15823.0,29453.0,12982.0,17677.0
Valongo,2020,4171.0,14107.0,16135.0,29260.0,13174.0,18171.0
Valongo,2021,4187.0,14107.0,16526.0,29401.0,13427.0,19001.0
Valongo,2022,4120.0,14095.0,17041.0,29669.0,13704.0,19781.0
Valongo,2023,4103.0,14226.0,17377.0,30011.0,13901.0,20548.0
Valpaços,2019,375.0,1442.0,1485.0,3177.0,2517.0,5866.0
Valpaços,2020,394.0,1409.0,1525.0,3078.0,2462.0,5902.0
Valpaços,2021,356.0,1396.0,1524.0,2968.0,2392.0,5949.0
Valpaços,2022,360.0,1376.0,1540.0,2965.0,2349.0,5967.0
Valpaços,2023,350.0,1368.0,1660.0,2937.0,2270.0,6005.0
Velas,2019,186.0,704.0,792.0,1540.0,743.0,1017.0
Velas,2020,198.0,674.0,794.0,1513.0,749.0,1023.0
Velas,2021,189.0,675.0,791.0,1512.0,755.0,1029.0
Velas,2022,184.0,668.0,795.0,1514.0,751.0,1039.0
Velas,2023,178.0,665.0,799.0,1496.0,762.0,1052.0
Vendas Novas,2019,413.0,1581.0,1445.0,3140.0,1305.0,3327.0
Vendas Novas,2020,413.0,1572.0,1525.0,3093.0,1352.0,3330.0
Vendas Novas,2021,401.0,1572.0,1576.0,3095.0,1365.0,3354.0
Vendas Novas,2022,410.0,1586.0,1638.0,3075.0,1395.0,3347.0
Vendas Novas,2023,432.0,1564.0,1706.0,3056.0,1436.0,3343.0
Viana do Alentejo,2019,233.0,748.0,776.0,1411.0,788.0,1419.0
Viana do Alentejo,2020,251.0,722.0,787.0,1409.0,795.0,1444.0
Viana do Alentejo,2021,242.0,738.0,813.0,1427.0,834.0,1389.0
Viana do Alentejo,2022,239.0,741.0,851.0,1465.0,807.0,1396.0
Viana do Alentejo,2023,235.0,756.0,880.0,1477.0,791.0,1399.0
Viana do Castelo,2019,3378.0,11540.0,12847.0,24471.0,12794.0,20783.0
Viana do Castelo,2020,3353.0,11405.0,12914.0,24288.0,12860.0,21356.0
Viana do Castelo,2021,3196.0,11312.0,12868.0,23890.0,12836.0,21904.0
Viana do Castelo,2022,3170.0,11209.0,12907.0,23704.0,12802.0,22463.0
Viana do Castelo,2023,3112.0,11166.0,13127.0,23548.0,12810.0,23017.0
Vidigueira,2019,228.0,702.0,756.0,1321.0,782.0,1455.0
Vidigueira,2020,227.0,684.0,747.0,1330.0,766.0,1457.0
Vidigueira,2021,224.0,691.0,778.0,1345.0,755.0,1425.0
Vidigueira,2022,233.0,696.0,812.0,1349.0,752.0,1399.0
Vidigueira,2023,230.0,686.0,839.0,1377.0,736.0,1361.0
Vieira do Minho,2019,344.0,1478.0,1672.0,3125.0,2024.0,3414.0
Vieira do Minho,2020,345.0,1409.0,1689.0,3040.0,2043.0,3539.0
Vieira do Minho,2021,337.0,1367.0,1706.0,2986.0,2006.0,3596.0
Vieira do Minho,2022,339.0,1308.0,1751.0,2940.0,1979.0,3663.0
Vieira do Minho,2023,351.0,1285.0,1803.0,2921.0,1909.0,3797.0
Vila Flor,2019,177.0,647.0,656.0,1513.0,1006.0,2104.0
Vila Flor,2020,185.0,629.0,687.0,1485.0,965.0,2150.0
Vila Flor,2021,179.0,606.0,709.0,1464.0,939.0,2159.0
Vila Flor,2022,175.0,594.0,755.0,1442.0,895.0,2167.0
Vila Flor,2023,168.0,596.0,799.0,1410.0,899.0,2167.0
Vila Franca de Xira,2019,6911.0,22775.0,22914.0,43372.0,17287.0,24557.0
Vila Franca de Xira,2020,6911.0,22400.0,23160.0,43062.0,17342.0,25316.0
Vila Franca de Xira,2021,6660.0,22254.0,22702.0,42598.0,17516.0,25951.0
Vila Franca de Xira,2022,6588.0,22255.0,22613.0,42507.0,17775.0,26726.0
Vila Franca de Xira,2023,6549.0,22229.0,22682.0,42476.0,18033.0,27483.0
Vila Franca do Campo,2019,472.0,1794.0,2089.0,3186.0,1351.0,1481.0
Vila Franca do Campo,2020,442.0,1770.0,2088.0,3144.0,1411.0,1523.0
Vila Franca do Campo,2021,416.0,1731.0,2082.0,3127.0,1415.0,1589.0
Vila Franca do Campo,2022,424.0,1708.0,2053.0,3147.0,1430.0,1626.0
Vila Franca do Campo,2023,435.0,1664.0,2042.0,3079.0,1488.0,1690.0
Vila Nova da Barquinha,2019,264.0,979.0,910.0,1893.0,967.0,1929.0
Vila Nova da Barquinha,2020,300.0,991.0,974.0,1916.0,973.0,1933.0
Vila Nova da Barquinha,2021,306.0,995.0,1067.0,1942.0,1020.0,1962.0
Vila Nova da Barquinha,2022,297.0,1035.0,1144.0,1968.0,1047.0,2010.0
Vila Nova da Barquinha,2023,308.0,1068.0,1238.0,2035.0,1087.0,2047.0
Vila Nova de Cerveira,2019,330.0,1199.0,1355.0,2488.0,1183.0,2352.0
Vila Nova de Cerveira,2020,339.0,1167.0,1363.0,2499.0,1167.0,2398.0
Vila Nova de Cerveira,2021,334.0,1156.0,1408.0,2494.0,1200.0,2414.0
Vila Nova de Cerveira,2022,342.0,1168.0,1458.0,2564.0,1192.0,2467.0
Vila Nova de Cerveira,2023,327.0,1174.0,1514.0,2587.0,1215.0,2510.0
Vila Nova de Famalicão,2019,5618.0,19609.0,22769.0,41263.0,18904.0,25029.0
Vila Nova de Famalicão,2020,5699.0,19140.0,23150.0,40837.0,19265.0,25976.0
Vila Nova de Famalicão,2021,5564.0,18761.0,23055.0,40013.0,19704.0,26987.0
Vila Nova de Famalicão,2022,5526.0,18554.0,23228.0,39631.0,20110.0,28019.0
Vila Nova de Famalicão,2023,5449.0,18404.0,23421.0,39318.0,20393.0,29009.0
Vila Nova de Foz Côa,2019,177.0,631.0,731.0,1510.0,1051.0,2274.0
Vila Nova de Foz Côa,2020,170.0,611.0,751.0,1477.0,1046.0,2285.0
Vila Nova de Foz Côa,2021,171.0,603.0,763.0,1458.0,1008.0,2295.0
Vila Nova de Foz Côa,2022,172.0,596.0,802.0,1454.0,993.0,2301.0
Vila Nova de Foz Côa,2023,159.0,610.0,836.0,1457.0,964.0,2343.0
Vila Nova de Gaia,2019,12761.0,44260.0,49509.0,92212.0,43599.0,62327.0
Vila Nova de Gaia,2020,12646.0,43104.0,49748.0,90818.0,44289.0,64347.0
Vila Nova de Gaia,2021,12421.0,42614.0,49798.0,89525.0,45000.0,66548.0
Vila Nova de Gaia,2022,12272.0,42402.0,50431.0,89221.0,45617.0,68598.0
Vila Nova de Gaia,2023,12185.0,42274.0,51132.0,88906.0,45985.0,70741.0
Vila Nova de Paiva,2019,147.0,575.0,608.0,1126.0,741.0,1470.0
Vila Nova de Paiva,2020,139.0,562.0,630.0,1098.0,735.0,1535.0
Vila Nova de Paiva,2021,141.0,532.0,665.0,1098.0,727.0,1522.0
Vila Nova de Paiva,2022,120.0,539.0,685.0,1084.0,716.0,1546.0
Vila Nova de Paiva,2023,123.0,541.0,730.0,1100.0,711.0,1548.0
Vila Nova de Poiares,2019,236.0,893.0,977.0,1991.0,988.0,1733.0
Vila Nova de Poiares,2020,218.0,883.0,1006.0,1973.0,1012.0,1787.0
Vila Nova de Poiares,2021,212.0,898.0,1043.0,1983.0,1043.0,1822.0
Vila Nova de Poiares,2022,217.0,909.0,1073.0,1985.0,1037.0,1834.0
Vila Nova de Poiares,2023,218.0,916.0,1108.0,1997.0,1036.0,1865.0
Vila Pouca de Aguiar,2019,317.0,1241.0,1373.0,2828.0,2133.0,3979.0
Vila Pouca de Aguiar,2020,309.0,1216.0,1442.0,2704.0,2125.0,4071.0
Vila Pouca de Aguiar,2021,305.0,1169.0,1458.0,2641.0,2090.0,4130.0
Vila Pouca de Aguiar,2022,287.0,1145.0,1509.0,2552.0,2089.0,4171.0
Vila Pouca de Aguiar,2023,260.0,1149.0,1560.0,2544.0,2024.0,4235.0
Vila Real,2019,1927.0,7089.0,7344.0,14940.0,7364.0,11234.0
Vila Real,2020,1852.0,6900.0,7312.0,14649.0,7506.0,11534.0
Vila Real,2021,1776.0,6762.0,7272.0,14362.0,7608.0,11819.0
Vila Real,2022,1746.0,6651.0,7360.0,14178.0,7627.0,12100.0
Vila Real,2023,1729.0,6523.0,7571.0,14026.0,7773.0,12306.0
Vila Real de Santo António,2019,824.0,2859.0,2613.0,5144.0,2710.0,4757.0
Vila Real de Santo António,2020,795.0,2850.0,2642.0,5125.0,2681.0,4880.0
Vila Real de Santo António,2021,755.0,2836.0,2672.0,5081.0,2632.0,4942.0
Vila Real de Santo António,2022,733.0,2857.0,2788.0,5114.0,2611.0,5052.0
Vila Real de Santo António,2023,737.0,2854.0,2889.0,5104.0,2571.0,5159.0
Vila Velha de Ródão,2019,96.0,242.0,307.0,630.0,460.0,1490.0
Vila Velha de Ródão,2020,104.0,259.0,327.0,636.0,460.0,1530.0
Vila Velha de Ródão,2021,114.0,294.0,365.0,670.0,459.0,1529.0
Vila Velha de Ródão,2022,111.0,304.0,391.0,711.0,434.0,1516.0
Vila Velha de Ródão,2023,107.0,339.0,402.0,740.0,429.0,1498.0
Vila Verde,2019,1906.0,7145.0,7509.0,13556.0,6101.0,9789.0
Vila Verde,2020,1970.0,7041.0,7661.0,13602.0,6299.0,10052.0
Vila Verde,2021,1941.0,6917.0,7834.0,13562.0,6324.0,10367.0
Vila Verde,2022,1952.0,6843.0,8024.0,13689.0,6441.0,10572.0
Vila Verde,2023,1947.0,6782.0,8279.0,13795.0,6549.0,10798.0
Vila Viçosa,2019,254.0,950.0,992.0,2122.0,1223.0,1922.0
Vila Viçosa,2020,260.0,929.0,994.0,2066.0,1257.0,1903.0
Vila Viçosa,2021,255.0,909.0,1015.0,2031.0,1227.0,1945.0
Vila Viçosa,2022,237.0,890.0,1023.0,1948.0,1234.0,1990.0
Vila Viçosa,2023,228.0,888.0,1029.0,1918.0,1228.0,2009.0
Vila da Praia da Vitória,2019,888.0,2903.0,3438.0,5839.0,2982.0,3473.0
Vila da Praia da Vitória,2020,892.0,2869.0,3416.0,5796.0,3034.0,3515.0
Vila da Praia da Vitória,2021,880.0,2863.0,3398.0,5792.0,3021.0,3666.0
Vila da Praia da Vitória,2022,840.0,2851.0,3388.0,5810.0,3022.0,3757.0
Vila da Praia da Vitória,2023,798.0,2835.0,3371.0,5844.0,3009.0,3883.0
Vila de Rei,2019,94.0,342.0,364.0,677.0,425.0,1339.0
Vila de Rei,2020,96.0,326.0,405.0,677.0,436.0,1357.0
Vila de Rei,2021,105.0,342.0,458.0,699.0,447.0,1334.0
Vila de Rei,2022,114.0,341.0,482.0,727.0,429.0,1311.0
Vila de Rei,2023,118.0,350.0,502.0,765.0,417.0,1290.0
Vila do Bispo,2019,238.0,718.0,775.0,1594.0,805.0,1455.0
Vila do Bispo,2020,245.0,742.0,774.0,1610.0,828.0,1557.0
Vila do Bispo,2021,251.0,769.0,766.0,1604.0,838.0,1577.0
Vila do Bispo,2022,263.0,793.0,766.0,1630.0,842.0,1583.0
Vila do Bispo,2023,260.0,797.0,799.0,1646.0,833.0,1600.0
Vila do Conde,2019,3647.0,12306.0,12872.0,24945.0,11128.0,15804.0
Vila do Conde,2020,3625.0,12178.0,12895.0,24771.0,11397.0,16370.0
Vila do Conde,2021,3507.0,12271.0,13046.0,24749.0,11642.0,16866.0
Vila do Conde,2022,3496.0,12295.0,13467.0,24902.0,11875.0,17497.0
Vila do Conde,2023,3427.0,12351.0,13857.0,25136.0,12032.0,18069.0
Vila do Porto,2019,258.0,886.0,924.0,1632.0,791.0,882.0
Vila do Porto,2020,261.0,863.0,956.0,1637.0,781.0,927.0
Vila do Porto,2021,259.0,858.0,995.0,1622.0,802.0,946.0
Vila do Porto,2022,235.0,868.0,1022.0,1608.0,804.0,972.0
Vila do Porto,2023,219.0,870.0,1017.0,1604.0,777.0,1015.0
Vimioso,2019,107.0,350.0,436.0,821.0,716.0,1797.0
Vimioso,2020,99.0,342.0,443.0,794.0,694.0,1794.0
Vimioso,2021,94.0,340.0,442.0,793.0,663.0,1808.0
Vimioso,2022,96.0,335.0,470.0,805.0,629.0,1812.0
Vimioso,2023,101.0,333.0,494.0,833.0,603.0,1812.0
Vinhais,2019,142.0,589.0,706.0,1666.0,1328.0,3442.0
Vinhais,2020,149.0,576.0,689.0,1612.0,1325.0,3405.0
Vinhais,2021,161.0,545.0,694.0,1559.0,1254.0,3411.0
Vinhais,2022,164.0,543.0,682.0,1499.0,1235.0,3390.0
Vinhais,2023,148.0,544.0,697.0,1488.0,1165.0,3408.0
Viseu,2019,4213.0,14754.0,15219.0,29283.0,13463.0,22718.0
Viseu,2020,4229.0,14491.0,15365.0,29152.0,13429.0,23332.0
Viseu,2021,4092.0,14322.0,15439.0,28996.0,13507.0,23881.0
Viseu,2022,3981.0,14210.0,15521.0,28834.0,13484.0,24336.0
Viseu,2023,3926.0,14283.0,16136.0,29067.0,13590.0,24975.0
Vizela,2019,1064.0,3452.0,4440.0,7468.0,3452.0,3859.0
Vizela,2020,1104.0,3333.0,4555.0,7378.0,3515.0,4098.0
Vizela,2021,1089.0,3284.0,4528.0,7291.0,3607.0,4287.0
Vizela,2022,1074.0,3300.0,4522.0,7235.0,3687.0,4479.0
Vizela,2023,1056.0,3327.0,4500.0,7213.0,3741.0,4692.0
Vouzela,2019,302.0,1137.0,1281.0,2484.0,1343.0,2965.0
Vouzela,2020,310.0,1123.0,1357.0,2456.0,1371.0,3021.0
Vouzela,2021,315.0,1114.0,1397.0,2443.0,1402.0,3038.0
Vouzela,2022,318.0,1080.0,1410.0,2393.0,1413.0,3038.0
Vouzela,2023,320.0,1073.0,1476.0,2415.0,1386.0,3095.0
Águeda,2019,1809.0,6245.0,6887.0,13088.0,6708.0,11456.0
Águeda,2020,1831.0,6112.0,6979.0,12883.0,6769.0,11767.0
Águeda,2021,1777.0,6049.0,7019.0,12749.0,6858.0,12042.0
Águeda,2022,1752.0,6059.0,7037.0,12655.0,6871.0,12289.0
Águeda,2023,1760.0,6024.0,7264.0,12719.0,6933.0,12520.0
Évora,2019,2333.0,7928.0,8462.0,15574.0,7472.0,12451.0
Évora,2020,2366.0,7746.0,8299.0,15395.0,7498.0,12581.0
Évora,2021,2289.0,7717.0,8278.0,15331.0,7524.0,12742.0
Évora,2022,2249.0,7691.0,8250.0,15196.0,7547.0,12854.0
Évora,2023,2237.0,7637.0,8282.0,15081.0,7651.0,13049.0
Ílhavo,2019,1728.0,5686.0,6038.0,11734.0,5556.0,8103.0
Ílhavo,2020,1755.0,5657.0,6231.0,11738.0,5654.0,8384.0
Ílhavo,2021,1766.0,5737.0,6407.0,11857.0,5768.0,8698.0
Ílhavo,2022,1777.0,5784.0,6586.0,11921.0,5889.0,8981.0
Ílhavo,2023,1769.0,5909.0,6969.0,12139.0,6041.0,9302.0
Óbidos,2019,449.0,1601.0,1568.0,3206.0,1792.0,3096.0
Óbidos,2020,447.0,1628.0,1642.0,3336.0,1768.0,3216.0
Óbidos,2021,474.0,1635.0,1789.0,3397.0,1824.0,3291.0
Óbidos,2022,522.0,1667.0,1937.0,3478.0,1848.0,3375.0
Óbidos,2023,510.0,1733.0,2095.0,3580.0,1896.0,3480.0
