area,cinema,college,courthouse,fire_station,hospital,kindergarten,library,mall,museum,pharmacy,police,post_office,school,station,theatre,university
Abrantes,1.0,0.0,1.0,5.0,2.0,10.0,7.0,0.0,19.0,22.0,10.0,6.0,47.0,12.0,10.0,1.0
Alandroal,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,6.0,5.0,7.0,3.0,15.0,1.0,0.0,0.0
Albergaria-a-Velha,1.0,0.0,2.0,4.0,1.0,32.0,3.0,3.0,6.0,22.0,6.0,15.0,75.0,15.0,6.0,2.0
Albufeira,2.0,0.0,0.0,1.0,1.0,16.0,2.0,6.0,4.0,18.0,9.0,7.0,44.0,7.0,2.0,0.0
Alcobaça,3.0,3.0,3.0,8.0,9.0,39.0,7.0,12.0,15.0,28.0,13.0,15.0,104.0,12.0,3.0,5.0
Alcochete,1.0,0.0,1.0,2.0,2.0,21.0,4.0,9.0,7.0,17.0,5.0,4.0,34.0,7.0,3.0,0.0
Alcoutim,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,6.0,2.0,3.0,2.0,6.0,1.0,0.0,0.0
Alcácer do Sal,1.0,0.0,2.0,3.0,0.0,9.0,2.0,0.0,6.0,8.0,8.0,5.0,27.0,4.0,2.0,0.0
Alfândega da Fé,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0
Alijó,0.0,0.0,1.0,5.0,2.0,6.0,1.0,0.0,1.0,7.0,3.0,3.0,22.0,3.0,4.0,0.0
Aljezur,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,6.0,4.0,3.0,3.0,13.0,0.0,0.0,0.0
Aljustrel,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,5.0,4.0,2.0,2.0,12.0,1.0,2.0,0.0
Almada,3.0,3.0,1.0,6.0,4.0,82.0,10.0,31.0,21.0,60.0,14.0,12.0,111.0,28.0,10.0,10.0
Almeida,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,5.0,2.0,10.0,3.0,8.0,6.0,1.0,0.0
Almeirim,1.0,3.0,2.0,3.0,3.0,13.0,5.0,2.0,7.0,10.0,6.0,5.0,28.0,2.0,6.0,1.0
Almodôvar,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,4.0,2.0,2.0,1.0,13.0,0.0,0.0,0.0
Alpiarça,0.0,0.0,0.0,2.0,0.0,5.0,3.0,1.0,2.0,5.0,2.0,2.0,13.0,0.0,2.0,0.0
Alter do Chão,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,7.0,2.0,0.0,1.0
Alvaiázere,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,3.0,9.0,0.0,0.0,0.0
Alvito,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0,0.0,0.0
Amadora,1.0,3.0,1.0,5.0,7.0,45.0,8.0,10.0,3.0,69.0,17.0,12.0,108.0,9.0,10.0,2.0
Amares,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,5.0,2.0,3.0,31.0,0.0,0.0,0.0
Angra do Heroísmo,1.0,0.0,1.0,5.0,1.0,4.0,2.0,2.0,14.0,11.0,5.0,3.0,42.0,1.0,4.0,1.0
Ansião,1.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,3.0,3.0,1.0,3.0,17.0,0.0,0.0,0.0
Arcos de Valdevez,1.0,0.0,2.0,3.0,4.0,11.0,4.0,2.0,5.0,10.0,2.0,4.0,15.0,1.0,1.0,0.0
Armamar,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0
Arouca,2.0,1.0,2.0,6.0,1.0,9.0,5.0,2.0,5.0,10.0,3.0,9.0,58.0,3.0,6.0,0.0
Arronches,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,5.0,3.0,0.0,0.0
Arruda dos Vinhos,0.0,0.0,0.0,2.0,2.0,8.0,2.0,1.0,2.0,5.0,2.0,2.0,13.0,1.0,1.0,0.0
Aveiro,1.0,1.0,5.0,8.0,3.0,38.0,4.0,10.0,14.0,41.0,12.0,22.0,120.0,14.0,7.0,8.0
Avis,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,7.0,2.0,2.0,14.0,0.0,0.0,0.0
Azambuja,0.0,0.0,1.0,4.0,2.0,13.0,5.0,3.0,2.0,14.0,8.0,6.0,44.0,5.0,2.0,0.0
Barcelos,1.0,0.0,2.0,5.0,3.0,48.0,4.0,9.0,7.0,45.0,5.0,11.0,126.0,17.0,4.0,6.0
Barrancos,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0
Barreiro,2.0,0.0,1.0,2.0,1.0,35.0,5.0,11.0,3.0,37.0,10.0,8.0,75.0,9.0,5.0,1.0
Batalha,2.0,1.0,1.0,5.0,2.0,10.0,4.0,2.0,9.0,8.0,3.0,5.0,32.0,1.0,2.0,0.0
Beja,2.0,0.0,1.0,2.0,1.0,8.0,3.0,3.0,13.0,12.0,6.0,3.0,42.0,3.0,2.0,2.0
Belmonte,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,5.0,1.0,2.0,0.0,6.0,3.0,0.0,0.0
Benavente,1.0,0.0,0.0,4.0,0.0,14.0,3.0,2.0,4.0,8.0,5.0,2.0,29.0,3.0,2.0,0.0
Bombarral,1.0,0.0,1.0,3.0,0.0,8.0,5.0,0.0,3.0,5.0,3.0,3.0,14.0,4.0,2.0,0.0
Borba,1.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,3.0,4.0,3.0,2.0,14.0,0.0,2.0,0.0
Braga,2.0,2.0,2.0,4.0,9.0,57.0,7.0,22.0,21.0,53.0,10.0,16.0,159.0,11.0,5.0,7.0
Bragança,4.0,0.0,8.0,18.0,11.0,42.0,14.0,1.0,53.0,64.0,36.0,27.0,155.0,21.0,12.0,7.0
Cabeceiras de Basto,0.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,8.0,6.0,2.0,2.0,17.0,1.0,0.0,0.0
Cadaval,1.0,0.0,1.0,3.0,1.0,5.0,3.0,0.0,2.0,5.0,2.0,2.0,18.0,4.0,3.0,0.0
Cantanhede,0.0,0.0,1.0,3.0,3.0,25.0,2.0,1.0,5.0,18.0,7.0,7.0,67.0,0.0,1.0,0.0
Carrazeda de Ansiães,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,4.0,3.0,2.0,1.0,9.0,6.0,0.0,0.0
Carregal do Sal,0.0,0.0,1.0,4.0,0.0,8.0,1.0,1.0,3.0,5.0,1.0,1.0,10.0,5.0,1.0,0.0
Cartaxo,0.0,0.0,0.0,2.0,0.0,12.0,3.0,0.0,3.0,12.0,4.0,5.0,30.0,6.0,2.0,0.0
Cascais,2.0,3.0,3.0,6.0,7.0,61.0,6.0,29.0,17.0,58.0,19.0,15.0,171.0,11.0,6.0,5.0
Castelo de Paiva,0.0,0.0,1.0,2.0,2.0,12.0,1.0,0.0,2.0,6.0,2.0,4.0,26.0,0.0,3.0,0.0
Castelo de Vide,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,2.0,1.0,1.0,5.0,0.0,1.0,0.0
Castro Daire,0.0,0.0,1.0,4.0,0.0,7.0,0.0,1.0,4.0,8.0,2.0,1.0,28.0,1.0,1.0,0.0
Castro Verde,2.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,2.0,4.0,2.0,2.0,21.0,1.0,1.0,0.0
Celorico de Basto,0.0,0.0,1.0,2.0,1.0,16.0,4.0,1.0,5.0,9.0,2.0,2.0,30.0,3.0,0.0,0.0
Chamusca,0.0,1.0,2.0,2.0,3.0,12.0,7.0,0.0,13.0,22.0,11.0,5.0,46.0,12.0,7.0,2.0
Chaves,1.0,1.0,2.0,4.0,3.0,13.0,2.0,1.0,9.0,17.0,7.0,6.0,35.0,3.0,0.0,1.0
Cinfães,0.0,0.0,1.0,3.0,5.0,6.0,0.0,0.0,1.0,9.0,5.0,2.0,47.0,1.0,3.0,0.0
Coimbra,3.0,4.0,13.0,5.0,13.0,58.0,13.0,16.0,22.0,50.0,12.0,30.0,133.0,17.0,10.0,18.0
Condeixa-a-Nova,0.0,0.0,1.0,1.0,3.0,10.0,1.0,0.0,4.0,7.0,1.0,6.0,24.0,2.0,1.0,1.0
Constância,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,9.0,5.0,3.0,1.0,7.0,2.0,3.0,0.0
Coruche,0.0,0.0,1.0,3.0,0.0,20.0,1.0,0.0,9.0,8.0,8.0,5.0,33.0,1.0,0.0,1.0
Corvo,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0
Covilhã,1.0,1.0,3.0,4.0,3.0,26.0,4.0,8.0,17.0,26.0,15.0,13.0,64.0,20.0,6.0,2.0
Crato,1.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,4.0,4.0,3.0,9.0,2.0,2.0,1.0
Cuba,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,4.0,2.0,3.0,2.0,9.0,2.0,1.0,0.0
Câmara de Lobos,0.0,1.0,0.0,2.0,1.0,4.0,3.0,1.0,2.0,14.0,1.0,7.0,36.0,4.0,1.0,0.0
Elvas,1.0,0.0,1.0,3.0,1.0,13.0,5.0,3.0,15.0,11.0,10.0,9.0,23.0,3.0,6.0,1.0
Entroncamento,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,12.0,1.0,0.0,1.0
Esposende,1.0,1.0,1.0,2.0,4.0,12.0,1.0,1.0,8.0,11.0,3.0,4.0,32.0,1.0,1.0,0.0
Estarreja,0.0,0.0,1.0,2.0,1.0,5.0,2.0,0.0,5.0,5.0,3.0,4.0,27.0,5.0,1.0,0.0
Estremoz,2.0,0.0,1.0,3.0,0.0,8.0,2.0,1.0,8.0,10.0,8.0,3.0,29.0,1.0,1.0,0.0
Fafe,0.0,0.0,1.0,1.0,1.0,15.0,2.0,3.0,7.0,11.0,3.0,3.0,49.0,1.0,1.0,1.0
Faro,4.0,0.0,4.0,5.0,3.0,29.0,5.0,6.0,10.0,21.0,7.0,7.0,53.0,8.0,6.0,3.0
Felgueiras,0.0,0.0,1.0,2.0,1.0,16.0,3.0,2.0,1.0,13.0,3.0,4.0,62.0,2.0,1.0,1.0
Ferreira do Zêzere,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0
Figueira de Castelo Rodrigo,0.0,0.0,2.0,2.0,0.0,4.0,1.0,1.0,7.0,7.0,5.0,5.0,18.0,1.0,1.0,1.0
Figueiró dos Vinhos,0.0,0.0,1.0,2.0,2.0,7.0,1.0,0.0,2.0,7.0,2.0,2.0,9.0,1.0,1.0,0.0
Fornos de Algodres,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,1.0,3.0,6.0,2.0,0.0,0.0
Freixo de Espada à Cinta,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,3.0,4.0,2.0,2.0,4.0,1.0,0.0,0.0
Fronteira,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
Funchal,1.0,1.0,4.0,7.0,5.0,16.0,8.0,28.0,28.0,45.0,12.0,16.0,73.0,7.0,7.0,4.0
Fundão,1.0,1.0,1.0,4.0,3.0,24.0,1.0,4.0,12.0,21.0,9.0,15.0,58.0,12.0,3.0,2.0
Gondomar,2.0,2.0,2.0,11.0,3.0,74.0,6.0,7.0,12.0,46.0,17.0,20.0,188.0,30.0,10.0,1.0
Gouveia,2.0,0.0,3.0,7.0,3.0,9.0,4.0,0.0,10.0,11.0,5.0,4.0,28.0,4.0,2.0,1.0
Grândola,2.0,0.0,2.0,3.0,1.0,11.0,4.0,0.0,6.0,15.0,9.0,5.0,41.0,5.0,3.0,1.0
Guimarães,6.0,0.0,7.0,9.0,14.0,61.0,13.0,32.0,25.0,80.0,16.0,27.0,226.0,14.0,9.0,10.0
Lagoa,0.0,0.0,0.0,1.0,0.0,9.0,2.0,1.0,2.0,11.0,2.0,3.0,15.0,5.0,2.0,0.0
Lagoa [R.A.A.],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,5.0,0.0,3.0
Lagos,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,3.0,10.0,5.0,6.0,32.0,5.0,2.0,0.0
Lajes das Flores,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0
Lisboa,14.0,16.0,15.0,25.0,39.0,189.0,88.0,55.0,109.0,351.0,74.0,69.0,431.0,103.0,77.0,53.0
Loulé,4.0,0.0,4.0,6.0,4.0,47.0,7.0,7.0,19.0,35.0,13.0,16.0,95.0,14.0,9.0,4.0
Loures,2.0,1.0,1.0,15.0,6.0,121.0,12.0,23.0,11.0,87.0,18.0,25.0,190.0,12.0,14.0,3.0
Lourinhã,0.0,0.0,1.0,1.0,0.0,13.0,3.0,1.0,3.0,11.0,2.0,8.0,30.0,2.0,2.0,0.0
Lousada,0.0,0.0,1.0,2.0,2.0,11.0,1.0,0.0,1.0,7.0,1.0,1.0,52.0,5.0,0.0,0.0
Lousã,0.0,0.0,1.0,2.0,1.0,6.0,1.0,1.0,4.0,6.0,1.0,2.0,9.0,0.0,2.0,0.0
Mafra,1.0,0.0,1.0,3.0,1.0,28.0,4.0,4.0,9.0,23.0,7.0,6.0,64.0,13.0,4.0,1.0
Maia,5.0,1.0,2.0,12.0,6.0,68.0,7.0,22.0,14.0,68.0,15.0,25.0,165.0,55.0,10.0,11.0
Mangualde,0.0,0.0,1.0,2.0,0.0,9.0,1.0,3.0,0.0,2.0,3.0,1.0,21.0,5.0,1.0,0.0
Marco de Canaveses,2.0,0.0,3.0,5.0,6.0,23.0,2.0,3.0,3.0,13.0,7.0,3.0,109.0,13.0,2.0,1.0
Marinha Grande,2.0,0.0,1.0,2.0,0.0,21.0,2.0,3.0,5.0,12.0,5.0,2.0,43.0,3.0,3.0,2.0
Matosinhos,3.0,4.0,3.0,8.0,9.0,54.0,7.0,22.0,20.0,61.0,13.0,19.0,127.0,44.0,12.0,23.0
Mação,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,6.0,3.0,1.0,2.0,5.0,4.0,2.0,0.0
Mesão Frio,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,1.0,7.0,4.0,0.0,0.0
Mira,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,2.0,2.0,2.0,15.0,0.0,0.0,0.0
Mirandela,0.0,0.0,2.0,3.0,3.0,12.0,2.0,0.0,4.0,12.0,5.0,4.0,24.0,2.0,0.0,1.0
Mogadouro,1.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,2.0,6.0,4.0,4.0,16.0,1.0,1.0,0.0
Monchique,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0
Mondim de Basto,0.0,0.0,0.0,2.0,1.0,5.0,2.0,0.0,4.0,4.0,2.0,1.0,19.0,1.0,0.0,0.0
Monforte,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,1.0,2.0,1.0,6.0,2.0,0.0,0.0
Montalegre,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,7.0,8.0,4.0,4.0,13.0,2.0,1.0,0.0
Mora,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,6.0,4.0,1.0,6.0,0.0,0.0,0.0
Mortágua,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,3.0,0.0,0.0
Moura,1.0,0.0,1.0,2.0,0.0,4.0,3.0,0.0,6.0,12.0,9.0,2.0,22.0,1.0,1.0,0.0
Murtosa,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,3.0,11.0,0.0,0.0,0.0
Murça,0.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,15.0,1.0,3.0,0.0
Mértola,0.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,13.0,4.0,5.0,4.0,16.0,2.0,3.0,0.0
Mêda,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,4.0,3.0,0.0,1.0,0.0
